sample_index,filename,original_label,synthetic_label,anomaly_type,human_label,human_label_available,original_class_name,synthetic_class_name,human_class_name
0,leptodactylus_pentadactylus_s_000004.png,6,6,clean,7,True,frog,frog,horse
1,camion_s_000148.png,9,9,clean,8,True,truck,truck,ship
2,tipper_truck_s_001250.png,9,9,clean_hard,4,True,truck,truck,deer
3,american_elk_s_001521.png,4,2,near_miss,4,True,deer,bird,deer
4,station_wagon_s_000293.png,1,1,clean,6,True,automobile,automobile,frog
5,coupe_s_001735.png,1,1,clean_hard,5,True,automobile,automobile,dog
6,cassowary_s_001300.png,2,2,clean,2,True,bird,bird,bird
7,cow_pony_s_001168.png,7,7,clean,9,True,horse,horse,truck
8,sea_boat_s_001584.png,8,9,near_miss,6,True,ship,truck,frog
9,tabby_s_001355.png,3,6,random_flip,6,True,cat,frog,frog
10,muntjac_s_001000.png,4,4,clean_hard,9,True,deer,deer,truck
11,arabian_s_001354.png,7,7,clean,9,True,horse,horse,truck
12,quarter_horse_s_000672.png,7,7,clean_hard,6,True,horse,horse,frog
13,passerine_s_000343.png,2,2,clean,0,True,bird,bird,airplane
14,camion_s_001895.png,9,8,near_miss,8,True,truck,ship,ship
15,trailer_truck_s_000335.png,9,9,clean_hard,7,True,truck,truck,horse
16,dumper_s_000821.png,9,3,random_flip,9,True,truck,cat,truck
17,alley_cat_s_000200.png,3,3,clean,0,True,cat,cat,airplane
18,accentor_s_000677.png,2,9,gross,4,True,bird,truck,deer
19,frog_s_001671.png,6,8,ood,9,True,frog,ship,truck
20,capreolus_capreolus_s_000051.png,4,4,clean_hard,0,True,deer,deer,airplane
21,tomcat_s_000772.png,3,3,clean_hard,8,True,cat,cat,ship
22,pickerel_frog_s_000446.png,6,6,clean_hard,4,True,frog,frog,deer
23,bufo_s_001242.png,6,6,clean,4,True,frog,frog,deer
24,cassowary_s_001246.png,2,8,gross,2,True,bird,ship,bird
25,toad_s_001748.png,6,1,gross,8,True,frog,automobile,ship
26,cat_s_000081.png,3,3,clean_hard,8,True,cat,cat,ship
27,chihuahua_s_000825.png,5,5,clean_hard,7,True,dog,dog,horse
28,alces_alces_s_000959.png,4,4,clean_hard,0,True,deer,deer,airplane
29,stealth_bomber_s_000554.png,0,1,near_miss,8,True,airplane,automobile,ship
30,twinjet_s_000663.png,0,0,clean,4,True,airplane,airplane,deer
31,trucking_rig_s_001402.png,9,2,gross,2,True,truck,bird,bird
32,auto_s_000609.png,1,6,gross,3,True,automobile,frog,cat
33,tabby_cat_s_000983.png,3,3,clean,7,True,cat,cat,horse
34,wapiti_s_000416.png,4,4,clean,2,True,deer,deer,bird
35,monoplane_s_000895.png,0,1,near_miss,5,True,airplane,automobile,dog
36,true_cat_s_000247.png,3,3,clean_hard,4,True,cat,cat,deer
37,tennessee_walker_s_000486.png,7,7,clean_hard,3,True,horse,horse,cat
38,house_cat_s_000243.png,3,3,clean,8,True,cat,cat,ship
39,house_cat_s_001196.png,3,5,near_miss,1,True,cat,dog,automobile
40,pekinese_s_001337.png,5,5,clean,5,True,dog,dog,dog
41,ostrich_s_001368.png,2,8,gross,9,True,bird,ship,truck
42,ostrich_s_001150.png,2,7,ood,4,True,bird,horse,deer
43,stallion_s_000046.png,7,7,clean,8,True,horse,horse,ship
44,station_waggon_s_000041.png,1,6,gross,8,True,automobile,frog,ship
45,coupe_s_001944.png,1,1,clean_hard,6,True,automobile,automobile,frog
46,estate_car_s_000580.png,1,1,clean,9,True,automobile,automobile,truck
47,accentor_s_000759.png,2,2,clean,7,True,bird,bird,horse
48,emu_novaehollandiae_s_000795.png,2,2,clean_hard,7,True,bird,bird,horse
49,dive_bomber_s_001390.png,0,0,clean,7,True,airplane,airplane,horse
50,articulated_lorry_s_000131.png,9,4,ood,3,True,truck,deer,cat
51,pekinese_s_001093.png,5,5,clean_hard,6,True,dog,dog,frog
52,broodmare_s_001463.png,7,7,clean,3,True,horse,horse,cat
53,delivery_truck_s_000834.png,9,9,clean,8,True,truck,truck,ship
54,songbird_s_001052.png,2,9,gross,3,True,bird,truck,cat
55,emu_s_000692.png,2,6,random_flip,6,True,bird,frog,frog
56,puppy_s_000115.png,5,5,clean_hard,1,True,dog,dog,automobile
57,wagtail_s_001821.png,2,9,gross,1,True,bird,truck,automobile
58,dama_dama_s_000658.png,4,7,ood,7,True,deer,horse,horse
59,domestic_cat_s_001970.png,3,0,gross,0,True,cat,airplane,airplane
60,ambulance_s_003039.png,1,8,random_flip,9,True,automobile,ship,truck
61,convertible_s_001763.png,1,1,clean,0,True,automobile,automobile,airplane
62,tank_ship_s_001229.png,8,8,clean,0,True,ship,ship,airplane
63,cassowary_s_001055.png,2,4,near_miss,4,True,bird,deer,deer
64,wagon_s_001142.png,1,1,clean_hard,6,True,automobile,automobile,frog
65,police_cruiser_s_000620.png,1,6,gross,3,True,automobile,frog,cat
66,moose_s_002308.png,4,1,random_flip,2,True,deer,automobile,bird
67,aerial_ladder_truck_s_000584.png,9,1,random_flip,7,True,truck,automobile,horse
68,saddle_horse_s_000717.png,7,8,gross,4,True,horse,ship,deer
69,tanker_s_001350.png,8,8,clean,5,True,ship,ship,dog
70,mongrel_s_001571.png,5,5,clean,2,True,dog,dog,bird
71,truck_s_000835.png,9,9,clean,7,True,truck,truck,horse
72,pickerel_frog_s_001195.png,6,1,gross,4,True,frog,automobile,deer
73,lipizzan_s_000399.png,7,7,clean_hard,3,True,horse,horse,cat
74,tabby_s_000074.png,3,3,clean_hard,8,True,cat,cat,ship
75,automobile_s_001887.png,1,1,clean,4,True,automobile,automobile,deer
76,moving_van_s_001665.png,9,8,near_miss,5,True,truck,ship,dog
77,attack_aircraft_s_000153.png,0,1,random_flip,0,True,airplane,automobile,airplane
78,domestic_cat_s_001596.png,3,3,clean_hard,6,True,cat,cat,frog
79,compact_car_s_000048.png,1,5,ood,3,True,automobile,dog,cat
80,domestic_cat_s_000009.png,3,3,clean,7,True,cat,cat,horse
81,pekingese_s_002089.png,5,5,clean,3,True,dog,dog,cat
82,capreolus_capreolus_s_001095.png,4,7,random_flip,1,True,deer,horse,automobile
83,blenheim_spaniel_s_001103.png,5,5,clean,0,True,dog,dog,airplane
84,stallion_s_000040.png,7,8,gross,5,True,horse,ship,dog
85,stud_mare_s_001672.png,7,7,clean,7,True,horse,horse,horse
86,elk_s_000920.png,4,4,clean,3,True,deer,deer,cat
87,lipizzan_s_001123.png,7,0,ood,3,True,horse,airplane,cat
88,fire_truck_s_002721.png,9,9,clean,7,True,truck,truck,horse
89,elk_s_001888.png,4,4,clean,2,True,deer,deer,bird
90,finch_s_000750.png,2,2,clean,9,True,bird,bird,truck
91,tabby_s_000880.png,3,5,near_miss,5,True,cat,dog,dog
92,banana_boat_s_001324.png,8,8,clean,2,True,ship,ship,bird
93,twinjet_s_000591.png,0,0,clean_hard,3,True,airplane,airplane,cat
94,shooting_brake_s_000029.png,1,1,clean_hard,2,True,automobile,automobile,bird
95,rana_pipiens_s_000101.png,6,1,gross,1,True,frog,automobile,automobile
96,station_wagon_s_001387.png,1,1,clean,8,True,automobile,automobile,ship
97,station_wagon_s_002712.png,1,5,random_flip,2,True,automobile,dog,bird
98,odocoileus_hemionus_s_000221.png,4,4,clean,7,True,deer,deer,horse
99,convertible_s_001715.png,1,1,clean,9,True,automobile,automobile,truck
100,abandoned_ship_s_000574.png,8,9,near_miss,5,True,ship,truck,dog
101,true_cat_s_000114.png,3,5,near_miss,9,True,cat,dog,truck
102,dustcart_s_000063.png,9,2,gross,8,True,truck,bird,ship
103,frog_s_000797.png,6,6,clean,9,True,frog,frog,truck
104,green_frog_s_001320.png,6,6,clean,0,True,frog,frog,airplane
105,compact_car_s_001038.png,1,2,random_flip,4,True,automobile,bird,deer
106,freighter_s_001351.png,8,8,clean_hard,5,True,ship,ship,dog
107,mutt_s_000251.png,5,5,clean,3,True,dog,dog,cat
108,accentor_s_000303.png,2,2,clean,4,True,bird,bird,deer
109,lorry_s_001154.png,9,9,clean,0,True,truck,truck,airplane
110,fire_truck_s_000894.png,9,9,clean,2,True,truck,truck,bird
111,cargo_vessel_s_000731.png,8,8,clean_hard,3,True,ship,ship,cat
112,cruiser_s_000774.png,1,4,random_flip,9,True,automobile,deer,truck
113,lippizan_s_000359.png,7,7,clean,5,True,horse,horse,dog
114,broodmare_s_001741.png,7,8,gross,3,True,horse,ship,cat
115,fighter_aircraft_s_000876.png,0,7,gross,8,True,airplane,horse,ship
116,amphibious_aircraft_s_000216.png,0,0,clean,3,True,airplane,airplane,cat
117,leopard_frog_s_000339.png,6,9,random_flip,8,True,frog,truck,ship
118,trucking_rig_s_001315.png,9,2,gross,7,True,truck,bird,horse
119,shooting_brake_s_000886.png,1,1,clean,8,True,automobile,automobile,ship
120,pipit_s_000549.png,2,2,clean,2,True,bird,bird,bird
121,ostrich_s_002148.png,2,2,clean,8,True,bird,bird,ship
122,trucking_rig_s_001600.png,9,9,clean,5,True,truck,truck,dog
123,alauda_arvensis_s_000755.png,2,8,gross,2,True,bird,ship,bird
124,rana_temporaria_s_001087.png,6,5,near_miss,7,True,frog,dog,horse
125,bufo_s_000136.png,6,7,random_flip,0,True,frog,horse,airplane
126,estate_car_s_000529.png,1,7,random_flip,3,True,automobile,horse,cat
127,aerial_ladder_truck_s_000997.png,9,9,clean,5,True,truck,truck,dog
128,toy_spaniel_s_000384.png,5,5,clean,5,True,dog,dog,dog
129,amphibious_aircraft_s_001195.png,0,7,ood,3,True,airplane,horse,cat
130,fallow_deer_s_001598.png,4,4,clean,9,True,deer,deer,truck
131,quarter_horse_s_000414.png,7,7,ood,1,True,horse,horse,automobile
132,anuran_s_000712.png,6,6,clean_hard,0,True,frog,frog,airplane
133,arabian_s_001366.png,7,7,clean,3,True,horse,horse,cat
134,auto_s_000040.png,1,1,clean,3,True,automobile,automobile,cat
135,cargo_ship_s_001063.png,8,3,gross,0,True,ship,cat,airplane
136,motorcar_s_000121.png,1,2,random_flip,2,True,automobile,bird,bird
137,motorcar_s_000305.png,1,1,clean,9,True,automobile,automobile,truck
138,anthus_pratensis_s_001071.png,2,8,random_flip,2,True,bird,ship,bird
139,cruiser_s_000294.png,8,8,clean,0,True,ship,ship,airplane
140,wagon_s_000763.png,1,0,near_miss,7,True,automobile,airplane,horse
141,alley_cat_s_002579.png,3,2,random_flip,0,True,cat,bird,airplane
142,tabby_cat_s_000825.png,3,5,near_miss,1,True,cat,dog,automobile
143,spadefoot_s_000051.png,6,1,random_flip,5,True,frog,automobile,dog
144,wagtail_s_002075.png,2,2,clean,2,True,bird,bird,bird
145,fallow_deer_s_001697.png,4,3,random_flip,4,True,deer,cat,deer
146,garbage_truck_s_000777.png,9,8,near_miss,4,True,truck,ship,deer
147,moving_van_s_000067.png,9,9,clean,9,True,truck,truck,truck
148,mongrel_s_000696.png,5,5,clean_hard,0,True,dog,dog,airplane
149,red_deer_s_000741.png,4,9,gross,1,True,deer,truck,automobile
150,true_cat_s_001768.png,3,3,clean,1,True,cat,cat,automobile
151,spadefoot_s_000377.png,6,6,clean_hard,0,True,frog,frog,airplane
152,lipizzan_s_001233.png,7,7,clean,2,True,horse,horse,bird
153,japanese_deer_s_000163.png,4,3,random_flip,3,True,deer,cat,cat
154,toad_s_002436.png,6,4,near_miss,5,True,frog,deer,dog
155,police_boat_s_001421.png,8,3,random_flip,5,True,ship,cat,dog
156,puppy_s_002062.png,5,3,near_miss,3,True,dog,cat,cat
157,lapdog_s_001869.png,5,5,clean,1,True,dog,dog,automobile
158,elk_s_001196.png,4,4,clean,5,True,deer,deer,dog
159,domestic_cat_s_001235.png,3,4,random_flip,8,True,cat,deer,ship
160,car_s_000057.png,1,2,ood,3,True,automobile,bird,cat
161,lightship_s_000064.png,8,5,random_flip,5,True,ship,dog,dog
162,fallow_deer_s_001997.png,4,0,random_flip,8,True,deer,airplane,ship
163,quarter_horse_s_000022.png,7,9,random_flip,6,True,horse,truck,frog
164,bufo_calamita_s_000566.png,6,9,ood,2,True,frog,truck,bird
165,biplane_s_000624.png,0,0,clean,7,True,airplane,airplane,horse
166,fire_truck_s_001616.png,9,2,gross,4,True,truck,bird,deer
167,japanese_spaniel_s_000037.png,5,5,clean,7,True,dog,dog,horse
168,ambulance_s_001394.png,1,0,near_miss,8,True,automobile,airplane,ship
169,domestic_cat_s_001056.png,3,0,ood,4,True,cat,airplane,deer
170,tugboat_s_001384.png,8,9,near_miss,7,True,ship,truck,horse
171,emu_s_000072.png,2,2,clean,8,True,bird,bird,ship
172,gelding_s_000206.png,7,7,clean,7,True,horse,horse,horse
173,puppy_s_000637.png,5,5,clean,9,True,dog,dog,truck
174,tabby_cat_s_002607.png,3,5,random_flip,3,True,cat,dog,cat
175,elk_s_001198.png,4,0,gross,6,True,deer,airplane,frog
176,estate_car_s_001496.png,1,1,clean,1,True,automobile,automobile,automobile
177,peke_s_001338.png,5,3,near_miss,5,True,dog,cat,dog
178,arabian_s_001018.png,7,9,random_flip,2,True,horse,truck,bird
179,fighter_aircraft_s_000538.png,0,0,clean_hard,7,True,airplane,airplane,horse
180,fallow_deer_s_001164.png,4,4,clean,6,True,deer,deer,frog
181,lippizan_s_000390.png,7,7,clean,8,True,horse,horse,ship
182,toy_dog_s_000932.png,5,5,clean,2,True,dog,dog,bird
183,maltese_s_002151.png,5,5,clean_hard,3,True,dog,dog,cat
184,car_s_000002.png,1,1,ood,7,True,automobile,automobile,horse
185,jumbo_jet_s_000697.png,0,6,gross,8,True,airplane,frog,ship
186,dump_truck_s_000008.png,9,9,clean,5,True,truck,truck,dog
187,spadefoot_s_000084.png,6,6,clean,8,True,frog,frog,ship
188,motortruck_s_000014.png,9,1,near_miss,0,True,truck,automobile,airplane
189,jetliner_s_001502.png,0,3,random_flip,1,True,airplane,cat,automobile
190,tanker_s_000157.png,8,1,random_flip,1,True,ship,automobile,automobile
191,riding_horse_s_001870.png,7,6,random_flip,2,True,horse,frog,bird
192,cabin_cruiser_s_000096.png,8,4,random_flip,6,True,ship,deer,frog
193,dredger_s_001623.png,8,2,random_flip,7,True,ship,bird,horse
194,pipit_s_001102.png,2,2,clean,0,True,bird,bird,airplane
195,mongrel_s_002430.png,5,5,clean,3,True,dog,dog,cat
196,skylark_s_000150.png,2,2,clean,0,True,bird,bird,airplane
197,cat_s_001604.png,3,2,random_flip,7,True,cat,bird,horse
198,puppy_s_000211.png,5,5,clean,1,True,dog,dog,automobile
199,airbus_s_001124.png,0,0,clean,3,True,airplane,airplane,cat
200,leopard_frog_s_001021.png,6,6,clean,2,True,frog,frog,bird
201,wagon_s_001824.png,1,6,gross,7,True,automobile,frog,horse
202,garbage_truck_s_000147.png,9,8,near_miss,1,True,truck,ship,automobile
203,tabby_s_001354.png,3,0,random_flip,6,True,cat,airplane,frog
204,rana_temporaria_s_000295.png,6,6,clean,8,True,frog,frog,ship
205,lorry_s_000364.png,9,7,ood,5,True,truck,horse,dog
206,estate_car_s_000075.png,1,3,random_flip,9,True,automobile,cat,truck
207,tabby_s_000970.png,3,0,random_flip,7,True,cat,airplane,horse
208,fire_engine_s_000985.png,9,8,near_miss,4,True,truck,ship,deer
209,toad_s_000022.png,6,6,clean_hard,1,True,frog,frog,automobile
210,texas_toad_s_000215.png,6,6,clean,5,True,frog,frog,dog
211,broodmare_s_000707.png,7,7,clean_hard,8,True,horse,horse,ship
212,car_s_000286.png,1,1,clean,9,True,automobile,automobile,truck
213,twinjet_s_000565.png,0,1,near_miss,4,True,airplane,automobile,deer
214,truck_s_001385.png,9,9,clean,8,True,truck,truck,ship
215,toy_dog_s_000752.png,5,8,random_flip,0,True,dog,ship,airplane
216,police_boat_s_000092.png,8,8,clean,5,True,ship,ship,dog
217,toy_dog_s_001197.png,5,5,clean,2,True,dog,dog,bird
218,cassowary_s_002446.png,2,9,gross,9,True,bird,truck,truck
219,articulated_lorry_s_000050.png,9,9,clean,6,True,truck,truck,frog
220,monoplane_s_000781.png,0,6,random_flip,8,True,airplane,frog,ship
221,lightship_s_000343.png,8,9,near_miss,3,True,ship,truck,cat
222,powerboat_s_001486.png,8,8,clean,8,True,ship,ship,ship
223,jumbo_jet_s_000071.png,0,1,near_miss,0,True,airplane,automobile,airplane
224,bufo_debilis_s_000024.png,6,5,near_miss,8,True,frog,dog,ship
225,transporter_s_000272.png,9,9,clean,6,True,truck,truck,frog
226,estate_car_s_000743.png,1,1,clean,5,True,automobile,automobile,dog
227,motorcar_s_000697.png,1,0,near_miss,9,True,automobile,airplane,truck
228,rana_catesbeiana_s_001655.png,6,1,random_flip,3,True,frog,automobile,cat
229,tabby_s_000675.png,3,3,clean_hard,0,True,cat,cat,airplane
230,remount_s_000285.png,7,4,near_miss,2,True,horse,deer,bird
231,rana_catesbeiana_s_001521.png,6,6,clean,4,True,frog,frog,deer
232,true_frog_s_000223.png,6,0,gross,2,True,frog,airplane,bird
233,airliner_s_002304.png,0,0,clean,9,True,airplane,airplane,truck
234,natterjack_s_000987.png,6,5,near_miss,9,True,frog,dog,truck
235,leptodactylid_s_000082.png,6,5,random_flip,8,True,frog,dog,ship
236,coupe_s_001892.png,1,1,clean_hard,8,True,automobile,automobile,ship
237,quarter_horse_s_000419.png,7,2,gross,3,True,horse,bird,cat
238,car_s_001323.png,1,7,random_flip,0,True,automobile,horse,airplane
239,maltese_dog_s_001043.png,5,5,clean,5,True,dog,dog,dog
240,boat_s_000543.png,8,1,random_flip,8,True,ship,automobile,ship
241,tabby_cat_s_001537.png,3,3,clean,3,True,cat,cat,cat
242,rana_catesbeiana_s_001096.png,6,6,clean,8,True,frog,frog,ship
243,bufo_bufo_s_000326.png,6,6,clean,7,True,frog,frog,horse
244,pilot_boat_s_000646.png,8,6,random_flip,2,True,ship,frog,bird
245,toad_frog_s_001672.png,6,0,gross,8,True,frog,airplane,ship
246,boat_s_000988.png,8,8,clean_hard,3,True,ship,ship,cat
247,deer_s_001383.png,4,5,near_miss,9,True,deer,dog,truck
248,bufo_bufo_s_000261.png,6,6,clean,9,True,frog,frog,truck
249,leopard_frog_s_000763.png,6,0,random_flip,7,True,frog,airplane,horse
250,coupe_s_002178.png,1,1,clean,3,True,automobile,automobile,cat
251,cat_s_000663.png,3,3,clean,6,True,cat,cat,frog
252,ship_s_000175.png,8,8,clean,3,True,ship,ship,cat
253,house_cat_s_001471.png,3,5,near_miss,1,True,cat,dog,automobile
