sample_index,filename,original_label,original_class_name,synthetic_label,synthetic_class_name,anomaly_type,human_label,human_class_name,human_label_available,ood_category,corruption_type,is_hard_sample,is_vit_based
0,leptodactylus_pentadactylus_s_000004.png,6,frog,6,frog,clean,7,horse,True,,,False,False
1,camion_s_000148.png,9,truck,9,truck,clean,8,ship,True,,,False,False
2,tipper_truck_s_001250.png,9,truck,2,bird,random_flip,4,deer,True,,,False,False
3,american_elk_s_001521.png,4,deer,9,truck,gross,4,deer,True,,,False,True
4,station_wagon_s_000293.png,1,automobile,1,automobile,clean,6,frog,True,,,False,False
5,coupe_s_001735.png,1,automobile,1,automobile,clean_hard,5,dog,True,,,False,True
6,cassowary_s_001300.png,2,bird,2,bird,clean,2,bird,True,,,True,False
7,cow_pony_s_001168.png,7,horse,7,horse,clean,9,truck,True,,,False,False
8,sea_boat_s_001584.png,8,ship,5,dog,near_miss,6,frog,True,,,False,True
9,tabby_s_001355.png,3,cat,3,cat,corrupted,6,frog,True,,gaussian_noise,False,False
10,muntjac_s_001000.png,4,deer,1,automobile,random_flip,9,truck,True,,,False,False
11,arabian_s_001354.png,7,horse,7,horse,clean,9,truck,True,,,False,False
12,quarter_horse_s_000672.png,7,horse,2,bird,random_flip,6,frog,True,,,False,False
13,passerine_s_000343.png,2,bird,2,bird,clean,0,airplane,True,,,True,False
14,camion_s_001895.png,9,truck,4,deer,gross,8,ship,True,,,False,True
15,trailer_truck_s_000335.png,9,truck,9,truck,clean_hard,7,horse,True,,,False,True
16,dumper_s_000821.png,9,truck,6,frog,random_flip,9,truck,True,,,False,False
17,alley_cat_s_000200.png,3,cat,3,cat,clean,0,airplane,True,,,False,False
18,accentor_s_000677.png,2,bird,1,automobile,ood,4,deer,True,movietheater,,False,False
19,frog_s_001671.png,6,frog,6,frog,clean_hard,9,truck,True,,,True,True
20,capreolus_capreolus_s_000051.png,4,deer,4,deer,clean_hard,0,airplane,True,,,False,True
21,tomcat_s_000772.png,3,cat,6,frog,random_flip,8,ship,True,,,True,False
22,pickerel_frog_s_000446.png,6,frog,6,frog,clean_hard,4,deer,True,,,False,True
23,bufo_s_001242.png,6,frog,6,frog,clean,4,deer,True,,,False,False
24,cassowary_s_001246.png,2,bird,8,ship,ood,2,bird,True,cloister,,True,False
25,toad_s_001748.png,6,frog,9,truck,ood,8,ship,True,bowling,,False,False
26,cat_s_000081.png,3,cat,3,cat,clean_hard,8,ship,True,,,False,True
27,chihuahua_s_000825.png,5,dog,5,dog,clean_hard,7,horse,True,,,False,True
28,alces_alces_s_000959.png,4,deer,3,cat,random_flip,0,airplane,True,,,False,False
29,stealth_bomber_s_000554.png,0,airplane,4,deer,gross,8,ship,True,,,False,True
30,twinjet_s_000663.png,0,airplane,0,airplane,clean,4,deer,True,,,False,False
31,trucking_rig_s_001402.png,9,truck,9,truck,ood,2,bird,True,fastfood_restaurant,,False,False
32,auto_s_000609.png,1,automobile,8,ship,ood,3,cat,True,waitingroom,,False,False
33,tabby_cat_s_000983.png,3,cat,3,cat,clean,7,horse,True,,,False,False
34,wapiti_s_000416.png,4,deer,4,deer,clean,2,bird,True,,,False,False
35,monoplane_s_000895.png,0,airplane,3,cat,near_miss,5,dog,True,,,True,True
36,true_cat_s_000247.png,3,cat,3,cat,clean_hard,4,deer,True,,,False,True
37,tennessee_walker_s_000486.png,7,horse,7,horse,clean_hard,3,cat,True,,,False,True
38,house_cat_s_000243.png,3,cat,3,cat,clean,8,ship,True,,,False,False
