feature,importance
label_conf_gap,0.28069051378349075
label_human_confidence,0.057577339048639
geo_margin,0.04543534205432682
geo_knn_ratio,0.043944472051187164
geo_pca_recon_err,0.04281567082316883
unc_conf_gap,0.04273711669274218
iq_mscn_kurtosis,0.0417473521283542
geo_per_class_mahal,0.04113564574630999
unc_top3_entropy,0.0400115242490054
iq_noise_energy,0.03952958499025894
unc_mc_entropy,0.039122568107601806
unc_max_confidence,0.03736925270375837
iq_lap_var_s2,0.0372831978094476
iq_lap_var_s0,0.03725712817825426
iq_lap_var_s1,0.0366328204097944
unc_mc_variance,0.03648469019750504
dyn_loss_auc,0.0157185533475944
dyn_loss_slope,0.01532364652465014
dyn_conf_mean,0.012776183130876924
dyn_cartography_confidence,0.01265234970353424
dyn_cartography_variability,0.012540930183655619
dyn_conf_variance,0.012510618596955908
dyn_conf_std,0.012491477576605424
dyn_variability,0.0033117778879026877
dyn_forgetting_count,0.0029002440743799065
